search URL:,https://patents.google.com/?q=%28Visa%29&assignee=Visa+U.S.A.+Inc.
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9756001-B2,Schema-based dynamic parse/build engine for parsing multi-format messages ,Visa U.S.A.,"Thakur L. Singh, Sara K. Garrison, Mark Carlson, Kamlakar Singh, Shajen Devassey",2005-06-29,2015-11-11,2017-09-05,2017-09-05,https://patents.google.com/patent/US9756001B2/en,https://patentimages.storage.googleapis.com/20/01/ca/65c31b330b41a1/US09756001-20170905-D00000.png
US-8725568-B2,Coupon bearing sponsor account transaction authorization ,Visa U.S.A. Inc.,"Karen Louise Cervenka, Mary Theresa Taylor, Gwen Diane Ma",2009-08-24,2013-05-13,2014-05-13,2014-05-13,https://patents.google.com/patent/US8725568B2/en,https://patentimages.storage.googleapis.com/36/e4/ad/457dcf58e12c61/US08725568-20140513-D00000.png
US-10249101-B2,On-line authorization in access environment ,Visa U.S.A Inc.,"Ayman Hammad, Philip Dixon, Khalid El-Awady, Patrick Faith, Mark Carlson",2007-11-01,2014-07-30,2019-04-02,2019-04-02,https://patents.google.com/patent/US10249101B2/en,https://patentimages.storage.googleapis.com/95/02/a0/3e3c5b8980f1a1/US10249101-20190402-D00000.png
US-10497001-B2,Module ID based targeted marketing ,Visa U.S.A. Inc.,Simon J. Hurry,2007-11-29,2016-01-21,2019-12-03,2019-12-03,https://patents.google.com/patent/US10497001B2/en,https://patentimages.storage.googleapis.com/60/e2/16/fe3c594c4612c6/US10497001-20191203-D00000.png
US-9495672-B2,Mobile device containing contactless payment card used in transit fare collection ,Visa U.S.A. Inc.,"Ayman Hammad, Phillip Dixon, Brian Triplett",2006-09-28,2014-04-01,2016-11-15,2016-11-15,https://patents.google.com/patent/US9495672B2/en,https://patentimages.storage.googleapis.com/85/d3/fd/22daf44e5e08f5/US09495672-20161115-D00000.png
US-11481742-B2,Cardless challenge systems and methods ,Visa U.S.A. Inc.,"Mark Carlson, Surendra Keshan, Patrick Faith",2007-06-25,2019-02-25,2022-10-25,2022-10-25,https://patents.google.com/patent/US11481742B2/en,https://patentimages.storage.googleapis.com/04/43/a1/49e9db1a4cbafa/US11481742-20221025-D00000.png
US-8538831-B2,Bidding to receive data after a consumer is in a zone ,Vis U.S.A. Inc.,Mark Carlson,2009-04-22,2011-08-18,2013-09-17,2013-09-17,https://patents.google.com/patent/US8538831B2/en,https://patentimages.storage.googleapis.com/66/1d/15/6e21416b0bbf36/US08538831-20130917-D00000.png
US-9286606-B2,Wireless mobile communicator for contactless payment on account read from removable card ,Visa U.S.A. Inc.,Stephen Diamond,2008-08-14,2014-12-29,2016-03-15,2016-03-15,https://patents.google.com/patent/US9286606B2/en,https://patentimages.storage.googleapis.com/e0/61/9f/96d5944f47fc42/US09286606-20160315-D00000.png
US-9842336-B2,Risk assessment rule set application for fraud prevention ,Visa International Service Association,"Frederick Liu, Nancy Hilgers, Mark Nelsen, Kevin Siegel, Christopher Brown, Thomas Dwyer",2009-05-07,2014-12-29,2017-12-12,2017-12-12,https://patents.google.com/patent/US9842336B2/en,https://patentimages.storage.googleapis.com/34/e3/76/33ff37448c03c6/US09842336-20171212-D00000.png
US-2017255931-A1,Merchant Configured Advertised Incentives Funded Through Statement Credits ,Visa U.S.A. Inc.,"John Hamilton MacIlwaine, Patrick Stan, Surendra Keshan, Mark Carlson",2010-03-22,2017-05-18,2017-09-07,,https://patents.google.com/patent/US20170255931A1/en,https://patentimages.storage.googleapis.com/81/8e/43/2d00330a3d5a4e/US20170255931A1-20170907-D00000.png
